pdf_page,chars,preview
1,508,"黨 产 ， 字第-^丨 ~7 分 i 聲 請 人 : 方 祛 Ai p 1 蕙 法 薛 收 文 解釋憲法鼙請書 112, 1〇 , 2 6 為刑法第79之 1條第5 項 ， 涉有抵觸憲法第8條人身自由及第23條比例原則 等疑義， 爰依司法院大法官審理案件法第5 條第1項第2 款及"
2,998,"參 、 聲請人之主張及立場 一 、 刑法第 7 9 之 1 條 第 5 項所涉及之憲法上基本權利 受假 释 者若遭撤銷假釋時， 則須入監服其原來因假釋而未執行完之殘刑。 也就是 受假釋者必須從自由社會再次入監服刑， 因而會產生下列幾項重要的基本權利之 剥 奪或相當限制： 1 . "
3,1046,"法保障 （ 釋字第六八九號解 释 參照 ） 。 婚姻與家庭為社會形成與發 展之基礎， 受憲法制度性保障 （ 釋字第三六二號、 第五二號、 第 五四號及第六九六號解釋參照 ） 。家庭制度植基於人格自由， 具 有繁衍、 教育、 經濟、 文化等多重功能， 乃提供個人於社會生活之 必要支"
4,1152,"之目的及所需程度， 不合惠法第二十三條所定之比例原則。 … 2 . 大法官解釋第582號解釋文謂： 「 組織犯罪防制條例第三條第三項： 『 犯第一項之罪者， 應於刑之執行完畢或赦免後， 令入勞動場所， 強制工作， 其期間為三年； 犯前項之罪者， 其期間為五年。 』該條 例係以三人"
5,1093,"則無違 （ 本院釋字第544號 、 第551號 、 第646號 、 第669號及第 775號解釋參照 ） 。 」 (二 ） 且照鈞院歷來解釋， 如法令之法律效果過於單一而剝奪法院或行 政機關之栽量權， 造成個案顯然過苛而無合理例外排除之情形時， 則亦 屬違反比例原則而違憲： 1 "
6,1051,"原則， 而與憲法第十五條保障工作權之意旨相牴觸 。 J 3 . 鈞院釋字第754號解釋理由書： 「 國家基於不同之租稅管制目的， 分別制定法規以課徵進口稅、 貨物稅及營業稅， 於行為人進口貨物 4 . 又鈞院釋字第790號理由書謂： 「 人民身體之自由應予保障， 憲法 第 8 條"
7,1176,"能公平解決問題外， 另假釋制度最為人話病者在相關程序不透明， 6 同 樣地， 監獄行刑法、 外役監條例規定下之縮短刑期制度之公平性、 透明 度也顯然非為外人所能知， 當然更遑論受公評。 又撤銷假釋後之殘刑年 數規定， 因修法而由10年廷長為25年 ， 實務上概以撤銷假釋時點為判 "
8,1272,"化權利國際公約施行法》 （ 下稱「 兩公約施行法」 ） 第2 條規定： 「 兩 公約所揭示保障人權之規定， 具有國 内 法律之效力。」 、 第3 條 ： 「 適用兩公約規定， 應參照其立法意旨及兩公約人權事務委員會之 解釋。 」 、 第4條 ： 「 各級政府機關行使其職櫂， 應符"
9,1045,"4 . 本案及其他遭到撤鎖假釋之無期徒刑受刑人， 雖並非死刑犯， 實務 上長期監禁之情沉， 卻猶如讓這群無期徒刑受刑人在監所等待老死、 病死'對未來毫無希望感的監禁狀態， 在死刑犯身上3 到4 年就已 (四 ） 再 者 ，民 國 9 1 年懲治盜匪條例廢止， 代表需用重典的時代已"
10,862,"剂 法第2 條第3 項規定： 「 處罰或保安處分之裁判確定後， 未執行 或執行未完畢， 而法律有變更， 不處罰其行為或不施以保安處分者， 免其刑或保安處分之執行。 」 如法律變更， 仍處罰其行為但法定刑 因重型舊法為限時法， 適用之時空背景已與現今不同， 在限時法廢 止後， 命獲"
