pdf_page,chars,preview
1,420,"法規範憲法審 査 及裁判憲法審 査 聲請書 憲法庭收文 112,10 . 3 1 聲請人:蔡美娥 第二。 號 聲請代理人: 張寧 洲律師 茲依憲法訴訟法第59條之規定， 聲請法規範憲法審查及裁 判憲法審查 ： 主要爭點 一 、刑法施行法第7 - 2條第2 項 ， 就撤銷假釋執行殘"
2,547,"壹 、聲請法規範憲法審 査 及裁判憲法審 査 之目的： 為檢察官執行指揮不當聲明異議事件， 認最高法院 贰 、基本權遭受不法侵害之事實， 及所涉憲法條文或憲法 上之權利： 一 、憲法上所保陣之權利遭受不法侵害之事實， 及涉及 之憲法上之權力： (一） 查本件聲請人蔡美娥前於民國（"
3,531,"以 107年執助辛字第2331號執行指揮書（ 附件 1 ) ， 以聲請人撤銷假釋原因事實發生於95年 7 月 1 日後為由， 依刑法施行法第7 - 2條之規 定 ， 執行檢察官認應依現行刑法第79條之1 第 5 項之規定計算殘刑， 並認聲請人所應執行殘 (三） 刑法施行法第7 -"
4,531,"刑事裁定， 附件3 ) ， 再向最高法院提起再抗 告 ， 亦遭駁回確定（ 最高法院112年度台抗字第 (二） 按憲法訴訟法第59條規定， 人民於其憲法上所 保障之權利遭受不法侵害， 經依法定程序用盡 審級救濟程序， 對於所受不利確定終局裁判， 或該裁判及其所適用之法規範， 認有牴"
5,568,"條之1 第 5項規定 ： 「 經撤銷假釋執行殘餘刑期 者 ， 無期徒刑於執行滿二十五年， 有期徒刑於 (二） 附件4 最高法院112年度台抗字第673號刑事 裁定略以「 …本件再抗告人受撤銷假釋之原因 事實 ， 係發生於104、 105年 間 ， 已在現行刑法 第79條之 1 修"
6,522,"二 、聲請人對本案之主張及見解 (一） 按刑法第2條所規定之「 行為後法律有變更 者 ， 適用行為時之法律。 但行為後之法律有利 於行為人者， 適用最有利於行為人之法律」， 為 憲法律明確性原則、罪刑法定原則、 法律不 溯及既往原則之具體化規定， 且該條文實際上 亦並未限定於「 "
7,509,"形 ， 併執行無期徒刑者， 適用無期徒刑假釋之 規 定 」。 (三） 承 上 ， 是依修正前（ 聲請人行為時） 之刑法規 定 ， 無期徒刑假釋後， 倘因再犯其他案件而遭 撤銷假釋、 執行殘刑者， 仍應適用第77條無期 徒刑之假釋規定。 然而， 依 94年 1 月7 日修正 後之刑"
8,512,"始符合刑法第1條 、第2 條之規定， 並符合憲 法之法律明確性原則、 罪刑相當原則。 (五） 本件聲請人前因違犯懲治盜匪條例案件遭判處 無期徒刑確定而入獄執行， 前行為之日期既為 民國 8 5年間， 則就該案件之法律適用，自應以 適用行為時之法律為原則， 不只罪刑實質要 件 ， "
9,527,"日 开 ]法修正施行後者， 依九十四年一月七曰修 正施行之刑法第七十九條之一規定合併計算其 殘餘刑期與他刑應執行之期間。」是依94年 1 月 7 日增訂之刑法施行法7 - 2條第2 項之規 定 ， 係將撤銷假釋後之殘刑計算規範所應適用 之法律， 依撤銷假釋之原因事實發生時點為新 "
10,522,"具預見之可能性（ 司法院大法官釋字第602號 解釋參照） 」 ， 是以， 因國家刑罰法規， 與人民 生命、自由及財產權益之影響甚鉅，自應嚴格 遵循罪刑法定原則， 以制定法律之方式規定 之 ， 且就行為之處罰，自亦應以行為時之法律 明文為限， 始無違罪刑法定之原則。 (八） 而查本"
11,464,"人將因前案執行逾50年以上， 始得再次報請假 釋 ， 俟受刑人再次假釋出獄亦已垂老矣， 以 本件聲請人言， 其因前案業已入監執行13年 餘 ， 後經撤銷假釋， 所應執行之殘刑竟仍高達 25 年 ， 如此嚴苛之規定， 除不利於受刑人悔悟 更生外， 更顯然嚴重違反罪刑相當性廉則， 按"
12,51,"中 華 民 國 112 年 10 月 25 日 聲請人 ： 蔡美娥 代理人 ： 張寧 洲律師 12"
