pdf_page,chars,preview
1,1005,"法務部書函 受文者： 憲法庭 112 . 1 2 , 0 7 主旨： 檢送蕙法庭109年度憲 二 字第333號及其併案本部之言詞辯 論意旨書如附件。 請查照。 說明： 復112年11月9日憲法庭通知書。 保存年限： 地 址 ： 100204臺北市中正區重慶南路1段 130號 承辦"
2,0,""
3,373,"法規範憲法審查言詞辯論意旨書 案 號 ： 109年度憲 二 字第333號 相 對 人 ： 法務部設臺北市中正區重慶南路1段130號 電話： 02 - 21910189 代 表 人 ： 蔡清祥與相對人之關係： 法務部長 • 地址/ 電話同上 訴訟代理人： 郭 永 發 稱 謂 / 職"
4,761,"法笫 79條 之 1 第 5 項 （ 下稱系爭規定三） ， 有關無期徒刑受刑人撤 销 假 釋 ， 不分假釋期間長短、 再犯之犯罪性質種類， 一律執行固定之殘 餘刑期之 规 定， 並無違憲疑義（ 爭點題網一 ） ― 、 假釋制度係立法者設計整體刑罰制度之考量， 乃立法者透過立法創設"
5,771,"假釋制度本質上並非刑罰的免除， 亦非屬刑罰執行完畢之釋 放 。蓋原本國家透過司法程序對行為人宣告之刑罰並未完全實 現 ， 假釋期間之殘刑依舊存在， 僅係使受刑人由完全受監禁之監 獄環境， 邁入完全自由釋放之過程中， 於符合一定條件， 並受保 護管束之公權力監督下， 提前釋放之 缓"
6,790,"1 、 假釋制度為刑罰之轉向處遇， 並非憲法上之權利 我國惠法並未明文規定人民受自由刑時， 有請求假釋之權 利 ， 設置假釋制度亦非國家之憲法義務。 極端情形， 縱不設假釋 制 度 ， 亦未侵害受刑人之憲法上權利， 不至於構成違憲。 我國假 釋制度， 係基於整體刑事政策考量， 為"
7,711,"相 同 （ 司法院釋字第691號解釋羅昌發大法官協同意見書意旨 參 照 ）。 (2 ) 撤銷假釋後入監執行， 並未使行為人擔負新刑罰 假釋係在刑罰正式機構性處遇的刑罰執行過程中， 基於一 定法定執行期間之要求， 以及受刑人改善的實質條件， 而為刑罰 執行的修正， 故假釋期間仍須依"
8,701,"( 2 ) 在無期徒刑情形， 假釋被撤鎖而再度入監執行之受刑人， 係 得再次聲請假釋， 抑或由法律擬制殘餘刑期， 於執行期滿時 視為執行完畢？殘餘刑期應為若干？應否賦予法官裁量之 權限？該等假釋及撤銷假釋要件之衡量， 本屬立法機關裁量 範 圍 ， 立法者係 综 合參考社會政治、 "
9,786,"2 、 系爭規定一、 三已使無期徒刑受刑人撤銷假釋後執行之刑期有一 定期間， 相較於有期徒刑受刑人撤銷假釋後須執行全部殘刑， 難認 有何過苛情形 對於執行有期徒刑之受刑人， 依刑法第79條 之 1 第 1 項 、 第2 項 、 第 5 項規定， 二 以上有期徒刑合併刑期逾40年 "
10,722,"處遇回復至監獄之機構處遇 （ 執行無期徒刑） 之本質， 並非對該等 無期徒刑受刑人處以新的刑罰。 而刑罰之發生， 乃取決於刑事法院 所為之有罪科刑確定判決 f 經撤銷假釋之監獄受刑人所應執行殘 餘刑期之長短， 亦依照刑事法院確定判決而為執行， 即難謂明顯不 合 理 ，自不能率指為"
11,834,"因過失而犯罪者， 因乏犯罪故意而可否定假釋作用， 本不在法 定絕對撤銷事由之列。 假釋撤銷原因可概分為絕對撤銷與相對撤 銷 。 前者係依刑法第78條 第 1 項規定： 「 假釋中因故意更犯罪， 受逾6 月有期徒刑之宣告確定者， 撤銷其假釋。 」 後者則依同條第 2 項規定： 「 "
12,778,"及相對撤銷假釋之門楹， 亦與刑法第75條 、 第 75條 之 1 有關絕 對及相對撤銷 缓 刑之立法模式一致。 從而， 在現行撤銷假釋之規範 架構下， 已賦予個案裁量、 審酌受刑人身自由剝奪與撤銷假釋所 要維護公益之判斷餘地， 並未剝奪裁量空間。 故一旦撤銷假釋之決 定確定， 即"
13,931,"聯邦法系統下， 美國自 1984 年量刑改革法案 （ Sentencing Reform Act) 以來， 基本上已經廢除假釋制度， 而以獄後監督 （ supervised release) 與善時制度 （ godtime system) 取代。 獄後監督制度依照美國聯邦刑法 典"
14,772,"( 三）日本、 德 國 、 韓國 2 8 條規定為 1 0 年 ， 德國刑法第 5 7a 條規定為 1 5 年 ， 韓國刑法第 7 2 條 之上限為 3 0 年之考量， 實際上無期徒刑獲准假釋之人， 其在監執行期 間多已逾 2 0 至 3 0 年 ， 且獲准假釋之比例極低， 以 "
15,838,"贰 、 系爭規定一及系爭規定三就原據以判處無期徒刑之法律如判決後經 廢 止 （ 如懲治盜匪條例）或經修正（ 如 108年 5 月 1 9 曰修正公布前 刑法 第272條 ）， 未就應執行之殘餘刑期之規定為特別考量， 並不違 憲 一 、 懲治盜匪條例雖名為廢止， 惟實質上僅屬法律有"
16,739,"法定刑度有變更等情形， 且係以法院在個案實體裁判為基準時點， 以 適用刑法第2 條 第 1項而為新舊法比較。 但在刑事判決確定後， 基於 法安定性的考量， 即有既判力， 除再審與非常上訴外， 原則上不許再 行爭執。因此， 在不涉及廢止刑罰或法律變更而不處罰其行為之情形 下 ， 縱"
17,818,"生效前業已終結之構成要件事實或法律關係， 是謂禁止法律溯及既往 原則。 惟如將新法規適用於舊法規施行時期 内 已發生， 且於新法規施 行後仍繼續存在之構成要件事實或法律關係， 此種情形則非新法規之 溯及適用， 無涉法律不溯及既往原則 C 憲法庭111年憲判字第18號 判決、司法院"
18,830,"有罪確定判決之主文亦從未變更。 v 現行刑法第79條之1第5項規定無期徒刑須執行滿25年 ， 有期 徒刑須全部執行完畢後， 方能接續執行他刑， 係立法者認為在撤銷假釋 的情況下刑之執行須達一定期間始有社會復歸之效果。 假釋既係行刑 之例外措施， 非受刑人當然得享之憲法上權利， 假"
19,507,"假釋及撤銷假釋後再行彳段釋之規定， 並非憲法上權利， 而屬法律所創設 之制度， 乃我國刑事政策之範疇， 司法權進行違憲審查時， 應尊重立法裁量 空間。 現行法依構成撤銷假釋事由情節之輕重而為區別對待， 並非一律均予 撤銷假釋， 已賦予個案裁量撤銷之判斷餘地， 若受刑人對於撤銷假釋"
