pdf_page,chars,preview
1,364,"法務部書函 受 文 者 ：憲法庭 k 主 旨 ： 檢送貴法庭109年度憲二字第333號案本部之言詞辯論意旨補 | 充書乙份， 請 查 照 。 . | 說 明 ： 復貴法庭於112年12月19日言詞辯論時， 審判長諭知本部另 以書面補充之說明。 檔 號: 保 存 年 限 ： 地 址"
2,382,"法規範憲法審 査 言詞辯論意旨補充書 案 號 ： 109年度憲二字第333號 相 對 人 ： 法務部設臺北市中正區重慶南路1段 130號 電 話 ： 02-21910189 代 表 人 ： 蔡 清 祥 與 相 對 人 之 關 係 ： 法務部長 地址/ 電話同上 訴訟代理人： 郭 "
3,797,"(一) 1 年 1 月 1 3 日以前， 依司法院釋字第 7 9 6 號解釋意旨， 受 假釋人故意更犯之罪係受緩刑或6 月以下有期徒刑宣告之 情 形 ， 就該更犯之罪， 或暫不執行， 或得易科罰金或易服社會 勞 動 ， 是否應變更原受之社會處遇，改為入監執行之機構處 遇 ， 自應"
4,667,"害 、 犯後是否進行損害修補等情， 綜合判斷其對社會危害程 度 。 (二)考量假釋期間長短（ 是否是在快屆滿前發生撤假事由）： 於 「 再犯可能性」面向之「 假釋出監後6 個月 内 再犯罪」項 目， 評估是否甫假釋出監旋即犯案， 對於假釋期間保持善良 品行越久之個案， 認遵循規範"
5,768,"二 、 依照我國刑法第 7 6條 規 定 ， 僅在 缓 刑期滿未經撤銷者， 刑之宣 告方失其效力。 若在緩刑期間 内 ， 緩刑因刑法第 7 5 條 或 第 7 5 條 之 1 規定撤鎖者， 原受緩刑宣告之人， 必須執行原確定判決 宣告之刑罰。 在撤銷緩刑前， 已經過之 缓 刑期間"
6,824,"六 、 綜上所述， 無論^假釋期間、 緩刑期間、 缓 起訴期間， 均係法律課 予行為人應遵守之誡命期間， 只要行為人達反應遵守事項而經 撤 銷時， 相應之法律效果， 不應該因行為人是在期間前階段或 後階段而有不同。 如果認為無期徒刑受假釋人， 於假釋期間後 階段方經撤銷假釋而依法"
7,722,"( 一 ) 依監獄行刑法第13條 規 定 ， 有客觀事實足認其身心狀 〜 八 所另犯之他罪裁判確定日， 作為他刑之刑期起算日， 以此方式 插接執行。 二 、 於 此 情 形 ， 經撤銷假釋後入監服刑之無期徒刑受刑人， 應適用 刑法第 7 9條 之 1 第 2 項前段規定： 「 二"
8,591,"3 . 監 禁 ： 視其個別情況定之。 為維護其身心健康， 並得與 其他受刑人分別監禁。 4•接見及通信： 因患病或於管理教化上之必要， 得許其與 最近親屬、 家屬或其他人接見及發受書信， 並得於適當 處所辦理接見。 5 . 給 養 ： 罹患疾病者之飲食， 得依醫師醫療行為需要換"
9,611,"2 . 依各類型身心障礙收容人之障別及需求， 安排適性團體 ( 一 ) 經本部矯正署與衛生福利部積極合作下， 矯正機關收容人自 5 . 結合社會資源 辧 理高齡受刑人關懷活動， 鼓勵家屬參與 機關辦理之家庭曰或三節懇親活動， 提高社會與家庭支 持 力 量 。 (五)若受刑人屬於身"
10,747,"(二 ) 高齡收容人易罹患高 j k 壓 、 糖尿病與心臟病等慢性疾病， 各 矯正機關均依收容對象之特性及就醫需求， 與健保合作醫院 協調所需門診之科別及診次； 又本部矯正署刻正推動健康監 獄推動及實踐計晝， 將 「 健康」 概念導進矯正機關， 並與「 醫 療 」結 合 ， 以適"
11,740,"定期重新檢視保護管束之執行有無拘泥或僵化於既有輔導監督 模 式 ， 致使受保護管束人產生敷衍、 虛應之態度與行為， 並應依 受保護管束人生活情狀調整觀護處遇措施， 以達保護管束防衛 社會之目的。 二 、 此 外 ， 經分級為中高再犯危險之案件或是觸犯重大刑事案件之 假釋出獄人， "
12,706,"籍地報告、 生活困擾與特殊報告等項目（ 附件3-2 :臺灣臺北地 方檢察署執行保護管束情況約談報告表） 。 五 、 受假釋人於保護管束期間， 觀護人將進行多面向之約談， 其 内 容包括新修法規及政令宣導， 使個案確實瞭解報到及約談 内 容 (一) 除上開受保護管束人應報告事項外，"
13,277,"附件2-2 :刑法施行法第 7 條 之 1 立法院第三屆第四會期第二次會議案關 係 文 書 （ 86年 9 月 13 日院總第246號委員提案1869號 ） 附件2-3 :刑法施行法第 7 條 之 2 立法院第五屆第二會期第十次會議案關 係 文 書 （ 91年 1 月 1 6 日"
