pdf_page,chars,preview
1,551,"109 專家諮詢意見書 周漾沂 臺 灣大學法律學院教授 爭點一：系爭規定一及系爭規定三，有關無期徒刑受刑人撤銷假釋， 不分假釋期間長短 、再犯之犯罪性質種類，一律執行固定之殘餘刑期 之規定，是否違憲？ 壹、問題展開 . 2 貳、無期徒刑假釋撤銷要件之違憲疑慮 . 3 參、無期徒刑"
2,823,"爭點一： 系爭規定一及系爭規定三，有關無期徒刑受刑人撤銷假釋， 不分假釋期間長短 、再犯之犯罪性質種類，一律 執 行 固定之殘餘刑期 之規定，是否違憲？ 壹、問題展開 無期徒刑假釋經撤銷者，依 照 民國 之 後 ，再接續執行他刑；而依 照 民國 修正 公布的刑法第 二十五年 後 "
3,827,"位問題。 其一是， 執行無期徒刑而假釋， 是否 無論假釋期間長短、再 犯之罪的種類及輕重，皆應撤銷假釋？其二是， 於 上開情形撤銷假釋 後，是否應一律執行固定為二十年或二十五年之殘刑？ 貳、無期徒刑假釋撤銷 要件 之違憲 疑慮 第一個問題 涉及無期徒刑假釋 撤銷 之法律依據，即刑"
4,867,"於釋字第 核心意旨 ， 而無違憲疑慮？ 或 有若干值得思索 之處。 第一 ， 現行刑法第 固然 將 強制 撤銷假釋 之要件改為 受逾六月有期徒刑之宣告 ，相較於舊法僅 須 受有期徒刑之宣告， 似已 排除 再犯輕罪 皆 一律撤銷假釋之 疑慮 。 不過， 即使 要求 受 逾六月有期 "
5,1022,"規定而來 ，但 暫且不論緩刑撤銷 之 要件是否 合理 尚 有討論空間 ， 於假 釋撤銷 運用 此 標準 「一刀兩斷」 的結果， 將 使 得 後罪 受逾六月有期徒 刑 直至受無期徒刑 之 宣告 者 ， 皆 不經實質 審酌一概強制撤銷假釋， 既 不比較前後罪之犯罪類型是否相似 ， 亦"
6,842,"假釋制度「涉及」憲法第 ， 理由在於： 「假釋 制度之目的在使受徒刑執行而有悛悔實據並符合法定要件者 ， 得停止 徒刑之執行 ， 以促使受刑人積極復歸社會」 ， 假釋後 「如復予以撤銷 ， 再執行殘刑，非特直接涉及受假釋人之人身自由限制，對其因復歸社 會而業已享有之各種權益，亦生"
7,1279,"「權利說」 的不同立場。顧名思義，恩 惠 說 意指 使 執行中之受刑人 假 釋出獄 是 國家 的 恩 惠 ， 既 然是 恩 惠 ，則受刑人只能被動接受，無權主 動請求 ， 因假釋而重獲之 人身 自由 ， 可說 屬於 一種 反射 性優惠 。 至於 權利說，則指若符合特定要件，執行中"
8,959,"響 ，應 該 如何論述，才能 在否定權利說的前提下 ， 融貫地 將 撤銷 假釋 之效果 看作 對 憲法第 之限制 ？依本文之見 ， 假釋 是 一種 刑罰目的導向 的 刑事執行動態調節機制， 與刑罰宣告、執行具 有 刑事制裁 功能上的一體性 受刑罰目的下之刑罰必要性概念導 引。 申"
9,836,"用之手段欠缺必要性 ， 造成對受假釋人受憲法第 8 之 人身自由 基本權 的 過度限制，有牴觸憲法第 參、 無期徒刑 撤銷 假釋 執行 固定 殘刑之違憲疑慮 無 期徒刑假釋經撤銷後 ， 即須入 監執行殘刑 。 依現行刑法第 79 之 ，須執行前罪之固定殘刑二十五年，再接續執行後罪"
10,1068,"再犯種類相似之重罪 ， 則證明其再犯危險性較原本假釋 許可 所依據之 預測高出甚多， 自然 可 支持較長之殘刑 執行 ， 再 以教化或隔絕方式降 低其再犯危險性。 但若受假釋人僅再犯 輕微之財產犯罪， 儘管 因 被 判 處 超過 六月有期徒刑而 依法 撤銷無期徒刑之假釋 ， 卻 "
11,1229,"主要 基礎， 乃行為人之罪責。 罪責不僅有抑制刑罰的作用， 防止 預防 必要性考量 無限度升高刑罰 ，亦有支撐刑罰的作用，防止預防必要 性考量無限度降低刑罰 。 只有 讓 刑罰 量達到與 行為人之罪責 不 至於 太 不相當 的程度 ， 始有 讓 預防必要性考量進入 「微調」 刑罰"
12,1275,"於 受刑人 在 法 共同體內之主體 性 的肯定 ， 具有憲法上基本權的性質 。 基此而建立 之 假釋制度， 雖 係 純粹特別 預防導向 ， 但 僅 具降低刑罰 的 單面作用，並無升高刑罰之餘地， 故 具 有 反罪責 原則 之特性，其目的 並非 確保 行為人之罪責因刑罰之執行而獲得"
13,1003,"犯而撤銷其假釋，亦不能改變此項事實。 刑法 規定無期徒刑 撤銷 假釋 後須執行固定超長殘刑，等於 無視於 受假釋人先前已 抵償之罪責， 全 部重新起算， 進一步惡化其地位，帶有給予額外懲罰 之 意味。 實則 ， 由 法理觀 之 ， 無期徒刑撤銷假釋之效果，應 僅 是讓受假釋人回復"
14,864,"爭點二 ： 系爭規定一及系爭規定三就原據以 判處無期徒刑之法律如於 判決後經廢止 ( 如懲治盜匪條例 ) 或經修正 ( 如 布前之刑法第 ) ，未就應執行殘餘刑期之規定為特別考量，是 否違憲？ 壹、 刑法 經 廢止 或 修正 後縮 減 刑罰執行之必要性 從實定刑法之角度，法院據以"
15,807,"確實是減輕其行為之處罰。 從 形式上 推演， 於 判決確定後法律有變更而不處罰其行 為，即 免除刑 罰 之執行，則 依據相同 之 理，於 判決確定後法律有變更 而減輕其行為之處罰者，亦應 縮減 刑 罰 之執行 。 雖然前一情形是刪除 犯罪 規定，後一情形仍保留 犯罪 規定， 但 "
16,1098,"關鍵在於，懲治盜匪條例之性質如何？ 其經廢止後回歸普通刑法 之適用，是否可 推 導出應縮減 刑罰 之 執行？ 眾所周知，該條例於制定 時 之定位 為限時刑法。限時刑法是 指 只 針對特定時期有效施行、 期滿 時自動失效之 刑法 ，係立法者因應 特定時期之特殊情形，為實現特 定政策"
