pdf_page,chars,preview
1,343,"司法 院 匪 本 % 干 09年 度 憲二字第 333號 無期徒刑撤銷假釋執行 殘刑 案 言詞辯論意旨狀 (二 ) 憲 法 庭 收 聲請 人 謝朝和 、賴清和 、謝 陳輝 、楊奇芳 、郭俊佑 、彭文正 李明輝 、楊 國清 、王登生 、陳清寶 、何貝才寶 、辜明東 李三能 、張明智"
2,103,"「一個 人要有 多幸運 ,才能像諸位 一樣 ,坐 在 這舒 月艮的位 置上 ,認 定這世 界 十分溫 柔 ,而我們擁 有絕對 的權 力 ,對 罪 犯 殘 忍 ?」 — 《八尺門的辯護人》 ,佟寶駒結辯陳詞"
3,574,"怎法訴訟言詞辯論意 旨狀 (二 ) 案 號 l0少 年度 憲二字第 333號 等 聲 請 人 謝朝和 等 均詳卷 訴 訟 代 理 人 翁國彥律 師 林俊儒律 師 工泰翔律 師 陳家偉律 師 梁志偉律 師 郭皓仁律 師 李佳 冠律 師 林建 宏律 師 陳偉仁律師 黃 昱 中律 師 "
4,1097,"二 、 從 而 ,裁 判確 定後 法律 變更為不罰該行 為 、而尚有刑 罰 未執行 完 畢之 情形 ,由於 整體 法律秩序 已不認 為其行 為應加諸刑 事處罰 則其刑 之執行 即欠缺 公共利 益之追 求 ,而無正 當 目的可言 。就 此 而言 ,我 國 與 年 上月 7日修正 、"
5,854,"親尊親屬罪判處無期徒刑者 ,計有 :李 三能 、劉 寶平等 2人 ;其 前案法院係依 81年 7月 27日修正之肅清煙毒條例判處無期徒刑 者 ,則 計有 :李 明輝 、李雨樺 、楊正 勇 、陳清寶 、蔡建陽 、陳澤 源 、楊奇芳 、蔡｜ l互 光 、傳新生 (已 歿 )等 少人 "
6,997,"公布施行之刑 法 第 330條 第 1項 規 定 ,法 定刑 為七年以上有期 徒刑 。相 同行 為之最 高法定刑度 自無期徒刑 降低 為有期徒刑 。 (三 )刑 法殺 害直 系血親尊親屬 罪部 分 : 聲請 人李三能 、劉 寶平之前 案確 定裁判係依據 23年 10月 31日 制"
7,1060,"製造 、運輸 、販 賣第四級毒品者 ,依 同條例 第 碎條 第 猝項之規 定 ,法 定刑則降為五年以上十二年以下之有期徒刑 。是與前開 肅清煙毒條例 第 5條 規定相較 ,製造 、運輸 或販 賣毒品之行為 其最輕 法定刑度 已 (按毒 品之分級 )自 無期徒刑 降低為五年至 十五"
8,997,"或與刑法相 關犯 罪之構 成要件存在 重複 或紛歧 紊亂之現 象… ┘等 旨 3可 見 ,懲 治盜匪條例實係為維護戰爭時期社會治安及穩 定之特 別刑法 ,故 對於該法所謂盜 匪行為處以最低法定刑遠 高於 普通刑 法定刑為唯一死研 l、 第 法之刑罰 。且 由懲治盜匪條例 第 2條"
9,1081,"一項 :『 販 賣 、運輸 、製造毒 品或鴉 片者 ,處 死刑 』之規 定 ,立 法 固嚴 ,惟 因戡 亂時期 ,倘不澈底 禁絕煙毒 ,勢 必危 害民族健康 、 國家安全及社 會秩序 ,故 該項規 定與 憲法第二 十三條並 無牴觸 。」 等 旨可 見 ,戡 亂時期肅清煙毒條例與前"
10,1062,"惟若 只能量處 無期徒 刑 或死刑 ,恐 又過於嚴 苛 。爰參 酌 第二 百五 十條侵 害直 系血親 尊親屬屍 體墳墓 罪 、第二百八 十條傷 害直 系血 正 第一項之 法定刑 為加 重其刑 至二 分之 一 , 親 尊親屬 罪之規 定 ,修 使 法 官得 視 具體個 案事實 、犯"
11,1033,"一 ;而由系爭規定三及 四之但 書合併觀 察之情形 ,無 期徒刑 受刑 人經撤銷假釋之後 罪發 生於 少 5年 7月 1日 起者 ,其 「應適用法 律 」為 系爭規定三 ,合 先敘 明 。 查於刑法 86年 11月 26日修正 前受無期徒刑 宣告之 受別人 ,因 當 時刑 法 尚"
12,1249,"生效 的法規 ,在 刑 事法領域尤其如 此 可°蓋若使新法的效力任 意溯 及 ,改 變既存 的法律 效 果 ,將 使 人 民無 法事先預 見其依 法應 負擔 之 義務與 其行 為之 法律 效 果 ,從 而承擔 不可 測的風 險 ,一旦人 民 對 法律 規範 的穩 定性 無法信賴 "
13,1027,"限 ,且 法律所 定之犯 罪構 成要件 ,須使 一般 受規範者得 以理解 , 並具預 見之可能性 (本院釋 字 第 602號 解釋參照 )。 法院解釋適 用刑 事法律 時 ,就 犯 罪構 成要件 不得擴 張或增加 法律 規 定所無之 內容 ,而 擴增可罰行為範 圍 。法院組織法 "
14,1148,"者 為 限 。拘 東人身 自由之保安處分 ,亦同 。┘除 了刑法 第 1條 規 定 了罪刑法定原則之 外 ,刑法學說上有認 為 憲法 第 8條 第 1項 「人 民身體之 自由應 子保 障 ,除 現行犯 之 逮捕 ,由法律 另定外 ,非 經 司法機 關或警察機 關依 法 定程序 不"
15,925,"受之刑 罰 ,包括 刑期長短 、如何假釋 等刑之執行 ,在 法治 國原則 之下 ,均 應 以行 為人於行 為 當時所 能預 見為準 。子路 曰 :「 刑罰 不 中 ,則民無所措 手足 」 ,倘 若刑 法可 以在 事後 變更 ,加 重人 民 受懲罰之條件 ,則 人民將對 國家法律之"
16,1050,"猝 .然 而 ,有學者 主張所謂構 成要件是否終結 ,其 實是一個極 其模 糊 的概 念 ,判斷上並不容 易 。實則 當法秩序發 生變動 時 ,因 新 法對於依 舊法取得 「法律地位 ┘者 重新評價 ,而 取 消或貶抑 其 權利 內涵 ,亦為 「法律 溯及適 用 」 。此時應討論"
17,923,"之遵 守 。因此 ,法律 一旦發生變動 ,除 法律 有溯及適用之特別 規定者 外 ,原 則上係 自法律 公布 生效 日起 ,向將來發生效力 。 惟人類 生活有其連續性 ,因 此新法雖無溯及效 力 ,而 係適用於 新法生效後始 完全實現之構成要件事實 ,然對人民依 舊法所建 立之生"
18,950,"適用之特別規 定 ,否 則仍應 以構 成要件 事實現之 時點 ,來 判 斷適用舊法或新法 3.再 按 大院釋 字第 7少 3號 解釋理 由書 :「 按 基於 法安定性及信 賴保護原則 ,限 制或剝奪人民權利之法律 規範 (下 稱不利性 法 律規範 ),原 則上不得 溯及既往 生效"
19,955,"7.退 步言之 ,若著眼於 系爭規定所示 「撤銷假釋 」之要件 ,認 為 本件係刑法修正後 ,受 別人再犯後罪才有構成要件 回溯並發生 法律效果者 ,或 有構成 「不真正溯及 既往 ┘之可能 。但本件不 能無視刑法變更前受別 人依其受無期徒刑確 定判決時 已存在之 假釋制度可享有"
20,974,"行 為人之結果 ,故 本件若 適用 系爭規 定二 、四 ,連 結 系爭規 定 一 、三 ,實已違反刑 法 第 2條 所要求之從 舊從輕原則 。 (八 ) 系爭規 定違反 大院過往解釋對信賴保護原則之 闡釋 1.按 大院釋 字 第 525號 解釋理 由書 :「 信賴保護原則攸 關憲"
21,914,"法 第八十一條參照 )。 假釋處分經 主管機 關作成後 ,受 假釋人 因此停止徒刑之執行 而出獄 ,如 復 予以撤銷 ,再執行殘刑 ,非 特直接 涉及 受假釋人之人身 自由 r艮 制 ,對 其 因復歸社會而業 已 享有之各種權益 ,亦生重大影響 。是主管機 關所為之撤銷假釋 決定"
22,402,"因前 案受無期徒刑判決時所 能知 悉 、預 見之刑 事處罰及假釋條 件 ,而其所 享有之 「無期徒刑執行逾 l0年 即可 申請假釋 」及 「不 因後 罪撤銷假釋 而延 長假釋年限 」之法律 地位 ,亦真基於 此 。準此 ,系 爭規 定二 、四以 「後 罪 」時點做 為應適 用法律"
23,760,"附石文件之名格及其件技 本 案及併 案聲請人其原確 定裁判所適用規定及法定刑度 、與 該行為於現行法之規範及法定毋 l度 比較表 附件 2 立法院公報第 8少 卷第 期委 員會紀錄 第 l02頁 蔡宗珍 ,〈 法規溯及適用問題與行政規則對於法規適用範圍 附件 3 之解釋 〉 ,《"
