pdf_page,chars,preview
1,501,"憲法庭 3 字 第 判決 摘要 聲請 人 ： 立法委員柯建銘等 ( 聲請人一 ， 詳如附表一 ) 、 行政院 （聲 請人二） 、總統賴清德（聲請人三） 、監察院（聲請人四） 言詞辯論 日期 ： 113 8 判決 宣示 日期： 113 10 25 案由： 聲請人認中華民國 113 "
2,788,"(1) 憲法增修條文第 聽取總統國情報告之權，總統並無至立法院為國情報告 之憲法義務 ， 立法院亦無聽取總統國情報告之憲法義務 。 總統是否、何時、以何等方式使立法院得聽取其國情報 告，及其國情報告之主題與涵蓋範圍等，總統得本於其 憲法職權而為審酌決定 ， 並基於憲法機關相互尊重"
3,656,"憲法質詢權與立法院憲法職權範圍，違反憲法權力分立 原則與制衡原則，自本判決宣示之日起，失其效力。又 被質詢人得例外拒絕答復立法委員質詢之正當理由，尚 不以本項規定所列情形為限，凡立法委員之質詢逾越質 詢權所得行使範圍、屬於行政特權之範疇、為保護第三 人基本權所必要、基於契約義務或"
4,670,"(3) 第 29 1 2 權立法院得經提名機關，向被提名人提出有關其資格與 適任性 之相關書面問題，性質上屬立法院人事審查程序 以外之任意性程序，被提名人並得自行衡酌處理；立法 院各黨團或個別立法委員尚不得逕向被提名人提出書面 問題，直接要求其答復。於 此前提下，本項規定始不生 "
5,795,"第 部分之規定，均違憲 且失所依附，一併失其效力。第 45 條第 之特定議案有重大關聯之事項，且有調查之必要者，始 得設調查委員會；僅涉及相關議案之事項，或未有特定 議案而僅與立法委員職權相關之事項，尚不符合立法院 得成立調查委員會，行使調查權（含調閱權）之要件。 於此前提下，前"
6,778,"限等情事而表示反對，致生權限爭議者，相關憲法機關 自應盡可能協商解決，或循其他適當憲法途徑處理。協 商未果者 ， 立法院自得依憲法訴訟法第 65 本庭為機關爭議之判決。於上開權限爭議經相關機關協 商、以其他適當途徑處理或經本庭依聲請為機關爭議之 判決前，立法院尚不得逕為調查權之行"
7,636,"(9) 第 47 2 擬詢問相關政府人員與人民者，應經立法院會之決議 ，且人民出席調查程序為證言之義務 範圍， 亦應由立法 院會以決議明確定之。於此前提下，本項規定除關於 調查專案小組部分外，尚不生牴觸憲法問題 。 (10) 第 1 判決宣示之日起，失其效力 。 (11) 第 2"
8,666,"(1) 第 59 1 會自律範疇，尚不生牴觸憲法問題 。 (2) 第 人員屬政府人員者 ， 係指具有依法獨立行使職權之身分 、 基於執行職務所需或相當於法令所定公務人員得請假事 由；受邀出席人員屬社會上有關係人員之人民者，本得 依其自主意願而決定是否應邀出席，其無論基於受憲法 所"
9,662,"7. 刑法第 力 。 8. 聲請人二 就立法院職權行使法第 15 1 、第 15 2 、第 15 、第 項、第 46 1 、第 50 1 第 2 第 59 2 5 59 2 、第 59 3 1 同法第 2 31 53 1 2 第 均不受理 。 判決 理由 要旨 一 、 關於立法程"
10,937,"2 . 法律公布生效後 ， 其立法程序牴觸相關議 事規範所生之瑕疵 ， 如非屬重大且明顯之違憲瑕疵，足以根本影響法律成立之基 礎者，並不當然影響法律之效力 〔第 6 基於國會自律原則，立法院審議法律案所應遵循之議事程 序 ， 如開會之應出席與決議人數 、 議案審議之讀會程序 、 "
11,823,"會進行過程 ， 議場常處於一片混亂狀態 ， 由此觀之 ， 其立法程 序實難謂無瑕疵 。 惟就憲法公開透明原則之要求而言 ， 系爭增修 條文與系爭刑法條文修正草案之主要議題，曾於委員會審查階 段由相關機關表示意見 ， 委員會並曾召開公聽會聽取各界意見 ， 是法案內容尚難謂完全欠缺公"
12,844,"總統並不對立法院負責，立法院亦無直接向總統問責之憲 法權限 。 〔第 又憲法增修條文第 之規定，其中第 3 國情報告 。 」 賦予立法院有聽取總統國情報告之憲法權限 。 由於 憲法增修條文第 憲法其他規定 ， 均未課予總統於立法院集會時 ， 應向立法院提出 國情報告之義務，且基於"
13,916,"屬以法律要求總統為憲法所無之特定行為，其立法已逾越立法 院憲法職權範圍，牴觸憲法權力分立原則 。 〔第 85 2. 職權行使法第 15 2 〔第 86 第 院會決議後 ， 由程序委員會排定議程之程序規定部分 ， 形式上固 屬立法院內部事項之規定 ， 然而 ， 立法院得聽取總統國情"
14,801,"律中 ， 明定總統應即時或限期回應立法委員之口頭或書面提問 ， 其規定已逾越立法院之憲法職權範圍 ， 牴觸憲法權力分立原則 。 〔第 91 三、職權行使法關於質詢部分：第 25 〔第 95 （一）審查原則 〔第 96 立法委員行使質詢權之對象，限於行政首長，不包括得於 立法院開會"
15,799,"照） ，則自始不屬立法委員質詢權所得行使之範圍，受質詢之行 政首長自得不予答復或揭露相關資訊 。 〔第 103 其次，立法委員之質詢內容如涉及第三人，而被質詢之行 政首長就此之答詢或相關資訊之揭露，可能危害第三人受憲法 保障之生命權與人身安全（如涉及情報人員或情報協助人員、 派赴"
16,785,"政府人員除 依法應獨立行使職權，不受外部干涉之人員， 及依憲法慣例得不受邀請備詢者外，原則上負有應邀到委員會 說明之義務 （釋字第 461 即應就立法委員之詢問，為適當且充分之說明。惟於委員會受 詢問之政府人員，與於院會受質詢之行政首長相同，均係負擔 政治責任，而非法律責任，是立"
17,870,"反質詢，應係指原為被質詢人之行政首長，於質詢程序自行易 位為質詢人，向原為質 詢人之立法委員，就具體事項或問題提 出質疑或詢問，並有意要求特定立法委員答復之謂。行政首長 以問題或疑問句等語句形式答復立法委員之質詢，或提問以釐 清質詢人所質詢之問題等情形，基於表意人就表意方式與語句"
18,820,"憲法增修條文第 牴觸憲法 。 〔第 118 本項規定中尚概括規定被質詢人不得有其他藐視國會之行 為。 〔第 119 就文義之一般理解而言， 「藐視國會之行為」 應指被質詢人 之行為具有輕蔑、無視或不尊重立法院之負面意涵。充其量僅 能針對受質詢之行政首長就質詢所為答復之具體內容與具"
19,801,"4. 第 3 〔第 124 行政首長在立法委員開會時，固負有在場備詢與答詢之憲 法義務，但不因此改變行政院與立法院乃平等並立之平行憲法 機關之地位，兩者各有其權並各司其職。是負有備詢義務之行 政院長等行政首長，如有重大事由未克出席立法院會者， 本於憲法權力分立制度下憲法機關間相互"
20,915,"6 院 及相關首長行使其憲法職權造成一定程度之限制而侵犯行政 院之憲法職權，違反憲法權力分立原則 。 〔第 134 第 程序規定，乃第 既屬違憲 ， 則第 7 。 〔第 135 7. 第 8 〔第 136 「移送彈劾或懲戒」 之規定 ， 核其立法意旨 ， 應係立法院自 我授予有彈"
21,748,"送懲戒之憲法權限。基此，本項規定關於將行政首長移送懲戒 部分，已逾越立法院之憲法職權，違反憲法權力分立原則 。 〔第 140 8. 第 9 〔第 142 行政首長就立法委員質詢之答復，於涉及事實時，固應如 實陳述 ， 不得為虛偽陳述 ， 惟其答復與陳述內容 ， 仍屬政治責任 之性"
22,697,"己之利益 ， 除有必要配合立法院就其資格與適任性之審查外 ， 對 立法院於人事審查程序上所為詢問或資料提供要求，於合理範 圍內，亦應盡可能協力與配合 。 〔第 159 然而 ， 被提名人協力與配合立法院人事審查程序之要求 ， 究 其性質，充其量僅屬被提名人為避免其人事任命案遭立法"
23,866,"立 法院為就提名人選行使審查 、 同意權 ， 固需由提名機關依 慣例提供被提名人相關資料 ， 俾 利其為審查 ， 惟鑑於提名機關與 立法院就相關人事任命案 ， 係屬分權 、 協力或制衡之關係 ， 並不 具權力從屬性 ， 理應相互尊重 ， 立法院尚不得片面課予提名機關 提供資料之義"
24,940,"人係就特定訴訟案件之應證事實而為證言，被提名人則係就其 獲提名出任職務之資格與適任性問題為書面答復，而是否具備 出任相關職務之資格與適任性之提問與回應，均具有高度屬人 性、評價性，非屬事實性陳述性質，無真偽之分，亦無從以具結 方式擔保其表意內容之真實性，是此類屬人性、評價性之陳述"
25,830,"同意權之權限 ， 因而逾越立法院憲法職權範圍 ， 應自本判決宣示 之日起，失其效力 。 〔第 185 4. 第 30 〔第 186 (1) 第 1 〔第 187 被提名人固不負有依第 29 1 提出相關資料之義務 ， 惟立法委員仍得於行使人事同意權 ， 為同 意或不同意之表決時 "
26,716,"本項規定以該等違憲之規定 ， 作為裁處罰鍰之前提要件 ， 與此範 圍內，其規定自同屬違憲 。 〔第 191 (3) 第 3 〔第 193 本項規定係關於依本條第 序規定，乃第 失其效力， 本項規定即失所依附，亦應一併失其效力 。 〔第 段〕 五、 職權行使法關於調查權之行使部分："
27,952,"定議案審議之參考。鑑於立法院之憲法職權不得概括委託其內 部委員會行使 ， 調查委員會就調查權行使之重要事項 ， 尤其調查 目的 、 事項範圍與課予人民協助調查義務之要件與範圍等 ， 均應 經院會決議明確授權，始得為之。此外，調查委員會之組成，應 保障少數立法委員之參與權 。 〔第"
28,907,"犯罪偵查之相關資訊等 ， 均有決定不予公開之權力 ， 乃屬行政權 本質所具有之行政特權（釋字第 585 對此應予適當之尊重 。 是立法院行使調查權涉及上 述事項 ， 而行 政院認屬涉及行政特權之範疇，或屬行政特權領域而得不對外 公開之資訊者，自得本於憲法機關之地位表示其反對立場 "
29,876,"決之 ， 其仍未果者 ， 則應由擬行使立法院調查權之立法院 ， 依法 循憲法訴訟途徑，聲請憲法庭 審理解決之。 〔第 216 3. 立法院調查權行使之方式、程序、強制手段及其限制 〔第 217 段〕 立法院調查權之行使，目的是為取得擬調查事項之必要資 訊 ， 以釐清特定議案之相關"
30,944,"關之文件原本及與原本內容相符之複本 、 繕本或影本 、 已不起訴 處分確定或已結案之偵查卷證資料原本或 本者 ， 仍須經院會決議 ， 始得為之 ， 調查委員會尚無權自行決議 調取 。 〔第 立法院之文件 、 資料調取權 ， 既屬立法院行使其憲法職權所 必要之輔助性權力 ， 其行使"
31,880,"法律明確性 、 正當法律程序與憲法比例原則之要求 ， 始與憲法無 違 。 〔第 226 就法律明確性之憲法要求而言 ， 課予人民提出文件 、 資料等 義務之法律規定，其義務成立要件、範圍、義務排除事由、權利 保護機制等 ， 均須有具體明確之規範 ， 並使受規範對象得以預見 其義務"
32,696,"等，其義務課予之規定始與憲法正當法律程序之要求無違 。 〔第 230 (2) 詢問權 〔第 立法院為行使調查權之必要 ， 於符合憲法要求之前提下 ， 得 經院會之決議，要求與調查事項有重要關聯之相關人民或政府 人員，提供證言或陳述意見，乃立法院調查權所涵蓋之詢問權， 屬調查方法之"
33,1019,"受詢問義務之要件與範圍 ， 以法律為明確規範 ， 或由立法院以決 議明確定之 ， 並應符合憲法比例原則與正當法律程序之要求 ， 始 得課予特定人民出席調查程序而為作證之義務。 〔第 3 8 立法院行使調查權 ， 係為釐 清所調查事項之事實與內容 ， 除 有以涉及所調查事項應證事實"
34,779,"立法院為有效行使調查權，就有作證義務之政府人員或人 民 ， 無正當理由 ， 拒絕出席調查程序作證 ， 致妨礙立法院調查權 之行使者，非不得以法律明定由立法院會決議，對之科處罰 鍰 ， 以為強制其出席調查程序作證之不得已手段 ， 惟此等強制手 段僅得針對拒絕出席調查程序者 ； 如人"
35,890,"調查專案小組之規定者 ， 即本條第 2 3 46 第 2 條之 權行使法中非屬本案審查標的之條文中，亦涉及調查專案小組 之規定者，即第 3 50 1 51 53 調查專案小組部分 ， 亦均失所依附 ， 立法者修法時應一併檢討修 正，併此指明。 〔第 249 立法院就與其憲法職權行"
36,858,"序作證 ， 與提供資料 、 物件於調查委員會之義務者 ， 由於涉及對 人民相關基本權之限制 ， 應以法律明確規定其義務內容 、 範圍及 義務排除事由等重要事項 ， 且符合憲法比例原則 、 正當法律程序 之要求 ， 始得為之 。 本項規定性質上係立法院逕行授權調查委員 會得一般性 "
37,892,"原則上屬立法院國會自律範疇，尚不生牴觸憲法問題。 〔第 2 6 1 3. 第 46 〔第 2 6 2 自本項規定之規範意旨觀之，其應係具體化釋字第 解釋針對立法院向有關機關就議案涉及事項 ， 行使文件 、 資料調 取權所示憲法界限之意旨 。 基此 ， 凡國家機關獨立行使職權受憲 "
38,785,"本項規定於符合上開意旨之前提下 ， 固不生牴觸憲法問題 ， 惟立法院調查權行使之限制 ， 尚不以本項規定所列事項為限 。 基 於權力分立原則及法院獨立審判之憲法要求，立法院除不得對 本條所定事項行使調查權外，對審判中訴訟事件之原因事實或 刑事案件之社會事實 ， 以及經確定裁判斷之"
39,861,"就本項本文規定關於 「政府機關」 部分而言 ， 查立法院所成 立之調查委員會 ， 就與調查事項有重要關聯之特定參考資料 ， 固 得以決議要求行政院 、 行政院各部會及其所屬機關提供 ， 且其所 得要求提供之資料範圍 ， 除上開機關所保有者外 ， 尚包括受行政 院或行政院各部會實質"
40,821,"定要求對象及於地方 圍內，已逾越立法院調查權之權限範圍 。 〔第 2 8 2 d ) 人民部分 〔第 8 3 本項本文僅規定： 「調查委員會……為行使調查權，得要 求……法人 、 團體或社會上有關係人員於 5 資料及檔案。」係授權調查委員會「為行使調查權」 ，即得要求 人民提供相"
41,875,"6. 第 48 〔第 2 9 8 ( 1 ) 第 1 〔第 299 據上 ， 本項規定關於 「公務人員違反本法規定 ， 於立法院調 閱文件 、 資料及檔案時拒絕 、 拖延或隱匿不提供者」 之要件規定 部分 ， 既屬違憲 ， 則其法律效果 ， 即立法院自我授權得移送監察 院依法提出"
42,928,"效力 ， 是本項關於義務違反之處罰規定 ， 自應基於相同理由而違 憲。 況立法院調查權之行使 ， 除對經院會決議課予作證義務之人 民 ， 於其無正當理由 ， 拒絕出席調查程序提供證言 ， 致妨礙立法 院調查權之行使者，尚非不得經院會決議，依法對之裁處罰鍰， 以為強制手段外，其餘情"
