post_id,title,category,date,source_url,chapter_count,pdf_count,html_doc_count,description
1884,第38期,法學期刊,2026-03,https://www.iias.sinica.edu.tw/publication_post/1884/9,3,3,0,本期刊載「資料治理與以資料進行治理」專號，收錄謝碩駿副教授之〈論預測性警務在危害防止與個人資料保護領域之法律問題〉一文，以及顏雅倫教授〈促進創新之反托拉斯法執法—理論建構與臺灣實務評析〉與翁燕菁副教授〈美洲人權法院與「合公約性審查」體制之建構—全球南方法學之實踐〉兩篇研究論文。至盼學界先進能繼續支持與賜教。
1829,憲法解釋之理論與實務（第12輯）,法學叢書,2025-09,https://www.iias.sinica.edu.tw/publication_post/1829/11,12,12,0,
1825,第37期,法學期刊,2025-09,https://www.iias.sinica.edu.tw/publication_post/1825/9,6,6,0,本期刊載「資料治理與以資料進行治理」專號，收錄Matthias Bäcker教授之主題演說Secondary Use of Government Information in Germany 以及邱文聰研究員之〈智慧政府資料驅動決策的法治挑戰—以「模仿型」及「相關性發掘型」人工智慧系統為例〉，與本期刊登之研究論文：世新大學法律學院翁逸泓教授之〈健保資料庫案後的健康資料再利用法制—歐盟法制及英國經驗對我國之啟發〉，同樣都是我國政府資料治理的重大議題。此外，本期薪傳論文，為臺灣大學法律學院博士班學生廖柏翔先生所著之〈重塑臺灣主權問題—國際法論述的變遷與競逐（1945-1979）〉。至盼學界先進能繼續支持與賜教。
1811,2021行政管制與行政爭訟 防疫與法治,法學叢書,2025-07,https://www.iias.sinica.edu.tw/publication_post/1811/11,7,6,0,「2021行政管制與行政爭訟」學術研討會，於2021年11月19日舉行。本次會議以「防疫與法治」為主題，計4個場次，共8篇論文發表。本書共收錄會議中6篇論文，論文依據會議當天報告順序排列，依次為：李東穎教授〈新冠肺炎對民主法治國之挑戰及其回應〉、吳秦雯教授〈COVID-19傳染病防治下之新權力分立關係〉、陳陽升教授〈疫情時刻的法治國健檢〉、林昱梅教授〈傳染病疫情期間蒐集個人資料以利追蹤接觸者相關法律問題探討〉、李寧修教授〈基於防疫目的之預防性個人資料運用〉、梁志鳴教授等合著〈Covid-19疫情下的風險溝通與公共問責〉。
1787,第36期,法學期刊,2025-03,https://www.iias.sinica.edu.tw/publication_post/1787/9,4,4,0,本期刊載林勤富教授、楊雅雯助研究員、林榮光助理教授，以及范耕維副教授與林俊儒博士之研究論文四篇。至盼學界先進能繼續支持與賜教。
1715,第35期,法學期刊,2024-09,https://www.iias.sinica.edu.tw/publication_post/1715/9,4,4,0,本期刊載王曉丹特聘教授、林春元副教授之研究論文兩篇，游鈞量先生、林允中先生之薪傳論文兩篇。至盼學界先進能繼續支持與賜教。
1660,第34期,法學期刊,2024-03,https://www.iias.sinica.edu.tw/publication_post/1660/9,7,7,0,本期刊載葉俊榮臺大講座教授特稿一篇、Frank Pasquale教授、張永健教授之研究論文兩篇、蘇柏榮博士之薪傳論文一篇，以及王泰升臺大講座教授回應專書書評一篇。至盼學界先進能繼續支持與賜教。
1633,2019行政管制與行政爭訟 國家責任與保護義務,法學叢書,2023-12,https://www.iias.sinica.edu.tw/publication_post/1633/11,9,8,0,「2019行政管制與行政爭訟」學術研討會，於2019年11月22日舉行。本次會議以「國家責任與保護義務」為主題，計有5個場次。前4場次由8位學者發表論文，4位評論人與談，共同探討國家賠償及國家保護義務上的重要課題。最後場次則安排「我國國家賠償法的修法及檢討」圓桌論壇。「行政管制與行政爭訟」學術研討會，自2005年11月首次舉辦以來，已集結10冊專書出版。惟為回應國內學術出版的生態轉變，自本次會議起，系列論文集改採叢書形式編輯，亦即，本所不再對會議論文進行雙向匿名審查，而是由作者自行投稿後再集結成書。本書共收錄論文7篇，並附圓桌論壇實錄，以饗讀者。
1600,2017行政管制與行政爭訟 行政程序法2.0,法學專書,2023-10,https://www.iias.sinica.edu.tw/publication_post/1600/10,8,7,0,「行政管制與行政爭訟」學術研討會，為本所長期推動的法學系列活動之一。2017年召開「行政管制與行政爭訟—行政程序法2.0」學術研討會，探討當前行政程序面對的重要挑戰，會議論文主題包括行政命令是否包括職權命令、自動化作成行政處分的效力、行政處分之廢止、行政處分的送達、公眾參與重大開發計畫、對話型行政程序，以及行政合理性的內涵等。在這場研討會中，本所李建良特聘研究員針對行政程序法的革新，發表主題演說「行政處分2.0」，從理念溯源、概念思考、功能思考、法治思考，以行政處分為討論核心，直探法治行政的新思維。會議論文經過雙向匿名審查後，計有五篇通過審查，依照本所歷來等同期刊論文的專書形式，收錄出版。此外，本書亦包含當初為了舉辦研討會，邀請行政機關代表來所參加座談會，和會議論文作者一起討論行政程序法的相關爭議。有鑑於該場座談會的內容洵實，並能凸顯行政部門運用行政程序法的日常實踐，特收入本書，以供讀者參考。
1588,第33期,法學期刊,2023-09,https://www.iias.sinica.edu.tw/publication_post/1588/9,9,9,0,本期刊載梁志鳴副教授/范蔚敏女士/許菁芳助理教授、陳陽升助理教授、林建志研究員之研究論文三篇、陳忠五特聘教授、顏厥安特聘教授、張嘉尹特聘教授、陳宛妤副教授、李建良特聘研究員之書評五篇。至盼學界先進能繼續支持與賜教。
